epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7084.21,1.09576,0.89129,1.30385,0.83215,0.80653,0.86657,0.63368,1.00392,0.73161,1.26069,0.00439291,0.00439291,0.00439291
43,7252,1.08829,0.87633,1.30306,0.84033,0.80671,0.8685,0.63765,1.00123,0.7286,1.25559,0.00436428,0.00436428,0.00436428
44,7419.75,1.07991,0.86612,1.29373,0.84421,0.80037,0.8677,0.6361,1.00369,0.7266,1.25396,0.0043351,0.0043351,0.0043351
45,7588.15,1.07128,0.85027,1.2916,0.84226,0.80703,0.8696,0.63937,1.00139,0.72372,1.25747,0.00430537,0.00430537,0.00430537
46,7756.14,1.07911,0.85762,1.29331,0.84435,0.80801,0.87004,0.63869,1.00366,0.71708,1.26137,0.00427509,0.00427509,0.00427509
47,7923.32,1.06912,0.84793,1.28764,0.84913,0.80886,0.87248,0.64278,0.99599,0.7143,1.25025,0.00424428,0.00424428,0.00424428
48,8091.37,1.05987,0.83386,1.27584,0.84294,0.81222,0.87339,0.64342,0.99629,0.70731,1.24895,0.00421295,0.00421295,0.00421295
49,8259.42,1.05718,0.82534,1.27366,0.83664,0.81594,0.87268,0.6436,0.99517,0.70719,1.24516,0.0041811,0.0041811,0.0041811
50,8427.52,1.05661,0.83139,1.27651,0.84659,0.81393,0.87455,0.6464,0.99298,0.7015,1.24654,0.00414875,0.00414875,0.00414875
51,8595.07,1.05032,0.81834,1.26982,0.84718,0.81299,0.87529,0.64618,0.99506,0.70376,1.24925,0.0041159,0.0041159,0.0041159
52,8762.92,1.04891,0.81895,1.27,0.84658,0.81835,0.87636,0.64799,0.99158,0.70026,1.24749,0.00408257,0.00408257,0.00408257
53,8931.05,1.04512,0.80836,1.26363,0.85039,0.81131,0.87651,0.64835,0.98856,0.70063,1.24305,0.00404876,0.00404876,0.00404876
54,9098.85,1.03938,0.8025,1.25912,0.85678,0.80729,0.87475,0.64798,0.98683,0.69732,1.24088,0.00401449,0.00401449,0.00401449
55,9266.15,1.04334,0.80126,1.26285,0.85279,0.81021,0.87654,0.64916,0.98642,0.69413,1.24153,0.00397977,0.00397977,0.00397977
56,9433.86,1.03376,0.79656,1.2593,0.85728,0.81334,0.87856,0.65212,0.98303,0.68907,1.238,0.0039446,0.0039446,0.0039446
57,9602.03,1.02621,0.77965,1.25309,0.85498,0.8131,0.87816,0.65197,0.98285,0.68687,1.24033,0.003909,0.003909,0.003909
58,9768.89,1.02236,0.77581,1.25129,0.85039,0.81583,0.87943,0.65336,0.9819,0.68575,1.2417,0.00387298,0.00387298,0.00387298
59,9936.49,1.01735,0.77245,1.24805,0.84918,0.8194,0.88005,0.65463,0.9828,0.68517,1.24134,0.00383655,0.00383655,0.00383655
60,10104.6,1.02358,0.76912,1.25191,0.84786,0.82341,0.87994,0.65522,0.98005,0.68193,1.24006,0.00379972,0.00379972,0.00379972
61,10272.6,1.01694,0.76951,1.24893,0.8492,0.81892,0.88035,0.65586,0.98026,0.68318,1.24229,0.0037625,0.0037625,0.0037625
62,10440.8,1.01301,0.76224,1.24011,0.85434,0.81751,0.88144,0.6564,0.98064,0.68002,1.23941,0.0037249,0.0037249,0.0037249
63,10608.2,1.00859,0.7544,1.23595,0.85607,0.81834,0.88222,0.65693,0.97945,0.67821,1.23965,0.00368694,0.00368694,0.00368694
64,10775.9,1.00061,0.74484,1.23054,0.85264,0.82218,0.88118,0.65687,0.97922,0.67763,1.23508,0.00364863,0.00364863,0.00364863
65,10943.2,1.00282,0.74092,1.23092,0.85703,0.82217,0.88296,0.65802,0.97852,0.67555,1.23301,0.00360997,0.00360997,0.00360997
66,11110.1,0.98578,0.73486,1.2234,0.86175,0.81826,0.88325,0.65969,0.97909,0.67446,1.23594,0.00357098,0.00357098,0.00357098
67,11278.1,0.99649,0.73874,1.22377,0.85875,0.82144,0.8829,0.65934,0.97763,0.67358,1.23467,0.00353167,0.00353167,0.00353167
68,11445.6,0.97701,0.71632,1.21591,0.86362,0.81778,0.88255,0.65899,0.97711,0.67178,1.23347,0.00349206,0.00349206,0.00349206
69,11613.5,0.98183,0.71576,1.21663,0.85888,0.82433,0.88297,0.65918,0.97614,0.66994,1.23207,0.00345215,0.00345215,0.00345215
70,11781.2,0.97908,0.71273,1.21337,0.85808,0.82648,0.88312,0.66026,0.97597,0.66986,1.23141,0.00341196,0.00341196,0.00341196
71,11949.4,0.98158,0.71924,1.21881,0.86134,0.82304,0.88284,0.66001,0.97552,0.66923,1.2331,0.0033715,0.0033715,0.0033715
72,12116.9,0.97339,0.71433,1.21558,0.85606,0.82521,0.88254,0.66015,0.97441,0.66999,1.2317,0.00333078,0.00333078,0.00333078
73,12284.8,0.96449,0.69973,1.20383,0.86466,0.81711,0.8826,0.66134,0.97198,0.6696,1.22959,0.00328982,0.00328982,0.00328982
74,12452,0.96495,0.70054,1.20807,0.86039,0.82069,0.88235,0.6613,0.97101,0.66978,1.22822,0.00324862,0.00324862,0.00324862
75,12619.7,0.9682,0.69933,1.20872,0.86048,0.82305,0.88279,0.66214,0.96991,0.66827,1.22736,0.0032072,0.0032072,0.0032072
76,12787,0.96012,0.6952,1.20255,0.86165,0.82248,0.88249,0.66257,0.97094,0.66785,1.22776,0.00316558,0.00316558,0.00316558
77,12954.4,0.9602,0.68866,1.20493,0.8659,0.81947,0.88224,0.66191,0.97148,0.66785,1.22888,0.00312376,0.00312376,0.00312376
78,13121.5,0.94871,0.6795,1.19464,0.86295,0.82351,0.88223,0.66234,0.97168,0.66805,1.23098,0.00308175,0.00308175,0.00308175
79,13289,0.94752,0.68088,1.1894,0.86419,0.82177,0.88265,0.66277,0.97133,0.66693,1.23033,0.00303958,0.00303958,0.00303958
80,13456.4,0.94855,0.68439,1.19911,0.8666,0.82102,0.88281,0.6635,0.97065,0.66635,1.23074,0.00299725,0.00299725,0.00299725
81,13624.1,0.94429,0.67363,1.19154,0.86437,0.82464,0.88304,0.66425,0.96999,0.66587,1.23026,0.00295478,0.00295478,0.00295478
82,13791.5,0.94771,0.67449,1.1977,0.85846,0.82668,0.88321,0.66481,0.96946,0.66557,1.23042,0.00291218,0.00291218,0.00291218
83,13958.9,0.93971,0.67434,1.18798,0.86028,0.82746,0.88342,0.66489,0.96916,0.66434,1.22988,0.00286945,0.00286945,0.00286945
84,14126.6,0.93506,0.66765,1.18973,0.86222,0.82488,0.88361,0.66528,0.96906,0.66413,1.23206,0.00282663,0.00282663,0.00282663
85,14294.8,0.93433,0.66109,1.18321,0.86436,0.82181,0.88349,0.66498,0.96885,0.66395,1.23114,0.00278371,0.00278371,0.00278371
86,14462.3,0.9337,0.66153,1.18324,0.86351,0.82392,0.88325,0.66501,0.96889,0.66417,1.23115,0.00274071,0.00274071,0.00274071
87,14630.4,0.92622,0.65491,1.17813,0.86246,0.82341,0.88338,0.66516,0.96914,0.66415,1.23101,0.00269765,0.00269765,0.00269765
88,14798.8,0.92532,0.65616,1.17413,0.86531,0.82005,0.88318,0.66539,0.96988,0.66454,1.23085,0.00265453,0.00265453,0.00265453
89,14966.4,0.9229,0.65089,1.17485,0.86363,0.82144,0.88309,0.66522,0.97036,0.66451,1.23077,0.00261138,0.00261138,0.00261138
90,15133.6,0.91588,0.64217,1.17133,0.86201,0.82235,0.88271,0.66494,0.9707,0.66527,1.23152,0.00256819,0.00256819,0.00256819
91,15300.9,0.91489,0.63958,1.17261,0.8661,0.81919,0.88282,0.66492,0.97156,0.66529,1.23212,0.002525,0.002525,0.002525
92,15468.4,0.92117,0.6411,1.1687,0.86539,0.81988,0.88303,0.66494,0.97165,0.66541,1.23179,0.00248181,0.00248181,0.00248181
93,15636.3,0.91148,0.62755,1.16733,0.86483,0.82151,0.88294,0.66529,0.9711,0.66589,1.23174,0.00243862,0.00243862,0.00243862
94,15803.9,0.90576,0.62842,1.16427,0.86244,0.82369,0.88264,0.66498,0.97061,0.66631,1.23118,0.00239547,0.00239547,0.00239547
95,15972,0.90694,0.62845,1.1661,0.86207,0.82515,0.88271,0.66524,0.97095,0.66657,1.23122,0.00235235,0.00235235,0.00235235
96,16140.7,0.90521,0.63069,1.16207,0.85991,0.82621,0.88254,0.66546,0.97082,0.6663,1.23144,0.00230929,0.00230929,0.00230929
97,16309.7,0.89869,0.61862,1.16081,0.86089,0.82642,0.88247,0.6656,0.97093,0.66687,1.23201,0.00226629,0.00226629,0.00226629
98,16477.9,0.8973,0.61714,1.16064,0.86385,0.82346,0.88267,0.66546,0.97148,0.66722,1.23322,0.00222337,0.00222337,0.00222337
99,16644.5,0.88989,0.60963,1.15358,0.86339,0.82467,0.88277,0.66573,0.97155,0.66765,1.23394,0.00218055,0.00218055,0.00218055
100,16813.3,0.88819,0.60734,1.15013,0.86323,0.82408,0.88278,0.66553,0.97201,0.66859,1.23484,0.00213782,0.00213782,0.00213782
101,16981.3,0.88841,0.60804,1.15769,0.86487,0.82311,0.8828,0.66572,0.97219,0.66903,1.23556,0.00209522,0.00209522,0.00209522
102,17150.3,0.88928,0.60801,1.15048,0.86563,0.82209,0.88272,0.66561,0.97233,0.66958,1.23567,0.00205275,0.00205275,0.00205275
103,17318.6,0.87616,0.59632,1.1452,0.86525,0.82309,0.88263,0.66584,0.97263,0.67025,1.23633,0.00201042,0.00201042,0.00201042
104,17488.8,0.87964,0.59993,1.14731,0.86629,0.82219,0.88258,0.66582,0.97262,0.67013,1.23653,0.00196825,0.00196825,0.00196825
105,17659.3,0.8774,0.58878,1.14052,0.86521,0.82346,0.88269,0.66624,0.97259,0.6705,1.23672,0.00192624,0.00192624,0.00192624
106,17828.9,0.87788,0.59412,1.14343,0.86724,0.82225,0.88277,0.66639,0.97239,0.67029,1.23679,0.00188442,0.00188442,0.00188442
107,17998.1,0.87575,0.59158,1.13879,0.86811,0.82197,0.88268,0.66635,0.97201,0.67076,1.23641,0.0018428,0.0018428,0.0018428
108,18167.6,0.86554,0.58736,1.13642,0.86451,0.82335,0.88245,0.66623,0.97161,0.67101,1.23602,0.00180138,0.00180138,0.00180138
109,18335.8,0.86568,0.58608,1.13416,0.86507,0.82365,0.88233,0.66642,0.97168,0.67137,1.23611,0.00176018,0.00176018,0.00176018
110,18505.6,0.86561,0.58566,1.13497,0.86318,0.82536,0.88233,0.66636,0.97184,0.6712,1.2362,0.00171922,0.00171922,0.00171922
111,18675.5,0.86268,0.58465,1.13183,0.86057,0.82739,0.88228,0.66629,0.97193,0.67093,1.2364,0.0016785,0.0016785,0.0016785
112,18844.2,0.86482,0.58473,1.13197,0.86154,0.82639,0.88238,0.66648,0.97172,0.6709,1.2363,0.00163804,0.00163804,0.00163804
113,19013.2,0.85034,0.56981,1.12374,0.86418,0.82377,0.88239,0.66676,0.97165,0.67114,1.23627,0.00159785,0.00159785,0.00159785
114,19182.9,0.85504,0.57583,1.12676,0.86368,0.82421,0.88227,0.66679,0.97139,0.67156,1.23608,0.00155794,0.00155794,0.00155794
115,19351.5,0.85853,0.57819,1.13325,0.86504,0.82307,0.88218,0.66687,0.97146,0.67181,1.23625,0.00151833,0.00151833,0.00151833
116,19519.7,0.84812,0.56452,1.12087,0.86584,0.82339,0.88204,0.66686,0.97143,0.67197,1.23624,0.00147902,0.00147902,0.00147902
117,19689.1,0.84883,0.5669,1.11934,0.86605,0.82357,0.88208,0.66692,0.97147,0.67251,1.2362,0.00144003,0.00144003,0.00144003
118,19857.4,0.84649,0.56488,1.11966,0.86605,0.82366,0.88194,0.66687,0.97163,0.67265,1.23639,0.00140137,0.00140137,0.00140137
